2024;;;
name_;code_;male_;female_
Deutschkreutz;<10801>;1527;1639
Draßmarkt;<10802>;659;713
Frankenau-Unterpullendorf;<10803>;536;572
Großwarasdorf;<10804>;671;686
Horitschon;<10805>;892;950
Kaisersdorf;<10806>;294;309
Kobersdorf;<10807>;928;943
Lackenbach;<10808>;551;604
Lackendorf;<10824>;303;298
Lockenhaus;<10809>;1013;1045
Lutzmannsburg;<10810>;404;433
Mannersdorf an der Rabnitz;<10811>;900;882
Markt Sankt Martin;<10812>;632;650
Neckenmarkt;<10813>;846;835
Neutal;<10814>;550;564
Nikitsch;<10815>;688;718
Oberloisdorf;<10828>;394;401
Oberpullendorf;<10816>;1614;1713
Pilgersdorf;<10817>;796;781
Piringsdorf;<10818>;419;413
Raiding;<10819>;416;487
Ritzing;<10820>;469;457
Steinberg-Dörfl;<10821>;651;664
Stoob;<10822>;694;672
Unterfrauenhaid;<10825>;331;315
Unterrabnitz-Schwendgraben;<10826>;325;307
Weingraben;<10827>;161;192
Weppersdorf;<10823>;917;983
Eisenstadt;<10101>;7740;8297
Rust;<10201>;941;1043
Breitenbrunn;<10301>;939;970
Donnerskirchen;<10302>;928;953
Großhöflein;<10303>;1031;1060
Hornstein;<10304>;1575;1737
Klingenbach;<10305>;637;623
Leithaprodersdorf;<10306>;619;623
Loretto;<10320>;261;261
Mörbisch am See;<10307>;1091;1122
Müllendorf;<10308>;732;734
Neufeld an der Leitha;<10309>;1747;1874
Oggau am Neusiedler See;<10310>;855;847
Oslip;<10311>;642;648
Purbach am Neusiedler See;<10312>;1496;1521
Sankt Margarethen im Burgenland;<10313>;1343;1367
Schützen am Gebirge;<10314>;716;731
Siegendorf;<10315>;1581;1666
Steinbrunn;<10316>;1509;1519
Stotzing;<10321>;428;404
Trausdorf an der Wulka;<10317>;1065;1091
Wimpassing an der Leitha;<10318>;856;885
Wulkaprodersdorf;<10319>;968;979
Zagersdorf;<10323>;538;600
Zillingtal;<10322>;498;522
Antau;<10616>;405;420
Bad Sauerbrunn;<10611>;1096;1209
Baumgarten;<10617>;441;485
Draßburg;<10601>;599;632
Forchtenstein;<10602>;1396;1395
Hirm;<10603>;520;571
Krensdorf;<10619>;312;318
Loipersbach im Burgenland;<10604>;616;616
Marz;<10605>;1032;1076
Mattersburg;<10606>;3621;3906
Neudörfl;<10607>;2426;2545
Pöttelsdorf;<10608>;360;405
Pöttsching;<10609>;1506;1571
Rohrbach bei Mattersburg;<10610>;1266;1359
Schattendorf;<10612>;1171;1217
Sieggraben;<10613>;653;603
Sigleß;<10614>;563;616
Wiesen;<10615>;1387;1379
Zemendorf-Stöttera;<10618>;655;635
Andau;<10701>;1104;1178
Apetlon;<10702>;851;885
Bruckneudorf;<10703>;1469;1600
Deutsch Jahrndorf;<10704>;317;335
Edelstal;<10727>;408;406
Frauenkirchen;<10705>;1421;1558
Gattendorf;<10706>;751;764
Gols;<10707>;1922;2050
Halbturn;<10708>;903;985
Illmitz;<10709>;1161;1196
Jois;<10710>;795;852
Kittsee;<10711>;1820;1907
Mönchhof;<10712>;1076;1119
Neudorf;<10725>;411;419
Neusiedl am See;<10713>;4295;4650
Nickelsdorf;<10714>;907;939
Pama;<10715>;616;659
Pamhagen;<10716>;748;752
Parndorf;<10717>;2606;2725
Podersdorf am See;<10718>;1058;1119
Potzneusiedl;<10726>;328;343
Sankt Andrä am Zicksee;<10719>;670;715
Tadten;<10720>;571;595
Wallern im Burgenland;<10721>;802;842
Weiden am See;<10722>;1272;1324
Winden am See;<10723>;672;713
Zurndorf;<10724>;1142;1136
Bildein;<10426>;167;181
Bocksdorf;<10401>;388;419
